"","iso3cd","value"
"1","AFG","Missing data"
"2","ALB","Missing data"
"3","DZA","Missing data"
"4","AND","Missing data"
"5","AGO","Missing data"
"6","ATG","Missing data"
"7","ARG","Mandatory regulations"
"8","ARM","Missing data"
"9","AUS","Mandatory regulations"
"10","AUT","Mandatory regulations"
"11","AZE","Missing data"
"12","BHS","Mandatory regulations"
"13","BHR","Both"
"14","BGD","Missing data"
"15","BRB","Both"
"16","BLR","Missing data"
"17","BEL","Both"
"18","BLZ","Missing data"
"19","BEN","Missing data"
"20","BTN","Missing data"
"21","BOL","Missing data"
"22","BIH","Missing data"
"23","BWA","Missing data"
"24","BRA","Mandatory regulations"
"25","BRN","Economic"
"26","BGR","Both"
"27","BFA","Missing data"
"28","BDI","Missing data"
"29","CPV","Missing data"
"30","KHM","Missing data"
"31","CMR","Missing data"
"32","CAN","Mandatory regulations"
"33","CAF","Missing data"
"34","TCD","Missing data"
"35","CHL","Both"
"36","CHN","Mandatory regulations"
"37","COL","Mandatory regulations"
"38","COM","Missing data"
"39","COG","Missing data"
"40","CRI","Mandatory regulations"
"41","CIV","Missing data"
"42","HRV","Both"
"43","CUB","Missing data"
"44","CYP","Both"
"45","CZE","Both"
"46","PRK","Missing data"
"47","COD","Missing data"
"48","DNK","Both"
"49","DJI","Missing data"
"50","DMA","Economic"
"51","DOM","Missing data"
"52","ECU","Both"
"53","EGY","Missing data"
"54","SLV","Mandatory regulations"
"55","GNQ","Missing data"
"56","ERI","Missing data"
"57","EST","Both"
"58","SWZ","Missing data"
"59","ETH","Economic"
"60","FJI","Both"
"61","FIN","Both"
"62","FRA","Both"
"63","GUF","Missing data"
"64","GAB","Missing data"
"65","GMB","Missing data"
"66","GEO","Missing data"
"67","DEU","Both"
"68","GHA","Mandatory regulations"
"69","GRC","Both"
"70","GRD","Missing data"
"71","GTM","Mandatory regulations"
"72","GIN","Missing data"
"73","GNB","Missing data"
"74","GUY","Missing data"
"75","HTI","Missing data"
"76","HND","Mandatory regulations"
"77","HUN","Both"
"78","ISL","Mandatory regulations"
"79","IND","Both"
"80","IDN","Mandatory regulations"
"81","IRN","Mandatory regulations"
"82","IRQ","Missing data"
"83","IRL","Both"
"84","ISR","Mandatory regulations"
"85","ITA","Both"
"86","JAM","Missing data"
"87","JPN","Mandatory regulations"
"88","JOR","Mandatory regulations"
"89","KAZ","Missing data"
"90","KEN","Missing data"
"91","KIR","Economic"
"92","KWT","Mandatory regulations"
"93","KGZ","Missing data"
"94","LAO","Missing data"
"95","LVA","Both"
"96","LBN","Missing data"
"97","LSO","Missing data"
"98","LBR","Missing data"
"99","LBY","Missing data"
"100","LIE","Mandatory regulations"
"101","LTU","Both"
"102","LUX","Mandatory regulations"
"103","MDG","Missing data"
"104","MWI","Missing data"
"105","MYS","Both"
"106","MDV","Missing data"
"107","MLI","Missing data"
"108","MLT","Both"
"109","MHL","Missing data"
"110","MRT","Missing data"
"111","MUS","Both"
"112","MEX","Both"
"113","FSM","Missing data"
"114","MCO","Missing data"
"115","MNG","Missing data"
"116","MNE","Missing data"
"117","MAR","Economic"
"118","MOZ","Missing data"
"119","MMR","Missing data"
"120","NAM","Missing data"
"121","NRU","Economic"
"122","NPL","Missing data"
"123","NLD","Mandatory regulations"
"124","NZL","Mandatory regulations"
"125","NIC","Mandatory regulations"
"126","NER","Missing data"
"127","NGA","Missing data"
"128","MKD","Mandatory regulations"
"129","NOR","Both"
"130","OMN","Mandatory regulations"
"131","PAK","Missing data"
"132","PLW","Economic"
"133","PAN","Missing data"
"134","PNG","Missing data"
"135","PRY","Mandatory regulations"
"136","PER","Both"
"137","PHL","Both"
"138","POL","Both"
"139","PRT","Both"
"140","QAT","Mandatory regulations"
"141","KOR","Mandatory regulations"
"142","MDA","Missing data"
"143","ROU","Both"
"144","RUS","Mandatory regulations"
"145","RWA","Missing data"
"146","KNA","Missing data"
"147","LCA","Missing data"
"148","VCT","Economic"
"149","WSM","Both"
"150","SMR","Missing data"
"151","STP","Missing data"
"152","SAU","Both"
"153","SEN","Missing data"
"154","SRB","Missing data"
"155","SYC","Economic"
"156","SLE","Missing data"
"157","SGP","Mandatory regulations"
"158","SVK","Both"
"159","SVN","Both"
"160","SLB","Mandatory regulations"
"161","SOM","Missing data"
"162","ZAF","Both"
"163","SSD","Missing data"
"164","ESP","Both"
"165","LKA","Both"
"166","SDN","Missing data"
"167","SUR","Missing data"
"168","SWE","Both"
"169","CHE","Mandatory regulations"
"170","SYR","Missing data"
"171","TJK","Missing data"
"172","THA","Both"
"173","TLS","Missing data"
"174","TGO","Missing data"
"175","TON","Economic"
"176","TTO","Mandatory regulations"
"177","TUN","Missing data"
"178","TUR","Mandatory regulations"
"179","TKM","Missing data"
"180","TUV","Missing data"
"181","UGA","Missing data"
"182","UKR","Missing data"
"183","ARE","Both"
"184","GBR","Both"
"185","TZA","Missing data"
"186","USA","Both"
"187","URY","Mandatory regulations"
"188","UZB","Missing data"
"189","VUT","Both"
"190","VEN","Mandatory regulations"
"191","VNM","Missing data"
"192","YEM","Missing data"
"193","ZMB","Missing data"
"194","ZWE","Missing data"
